GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
Local Authority,Gross Current Expenditure,8110115,2022,509,E06000016,Leicester,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,296
Local Authority,Gross Current Expenditure,8110115,2022,609,E10000029,Suffolk,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1820
Local Authority,Gross Current Expenditure,8110115,2022,613,E06000042,Milton Keynes,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,548
Local Authority,Gross Current Expenditure,8110115,2022,626,E06000056,Central Bedfordshire,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1337
Local Authority,Gross Current Expenditure,8110115,2022,702,E09000007,Camden,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,527
Local Authority,Gross Current Expenditure,8110115,2022,707,E09000020,Kensington and Chelsea,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,761
Local Authority,Gross Current Expenditure,8110115,2022,713,E09000033,Westminster,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,625
Local Authority,Gross Current Expenditure,8110115,2022,722,E09000009,Ealing,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,662
Local Authority,Gross Current Expenditure,8110115,2022,723,E09000010,Enfield,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1076
Local Authority,Gross Current Expenditure,8110115,2022,728,E09000018,Hounslow,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,696
Local Authority,Gross Current Expenditure,8110115,2022,732,E09000026,Redbridge,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,900
Local Authority,Gross Current Expenditure,8110115,2022,734,E09000029,Sutton,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,186
Local Authority,Gross Current Expenditure,8110115,2022,803,E06000046,Isle of Wight,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,216
Local Authority,Gross Current Expenditure,8110115,2022,805,E10000030,Surrey,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2141
Local Authority,Gross Current Expenditure,8110115,2022,814,E06000045,Southampton,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,801
Local Authority,Gross Current Expenditure,8110115,2022,815,E10000011,East Sussex,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1502
Local Authority,Gross Current Expenditure,8110115,2022,819,E06000030,Swindon,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,[x]
